address,nonce_compensation_ngonka,nonce_compensation_gonka,delegation_compensation_ngonka,delegation_compensation_gonka,total_compensation_ngonka,total_compensation_gonka
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,42339886222020,42339.8862,0,0.0000,42339886222020,42339.8862
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,29956256305629,29956.2563,0,0.0000,29956256305629,29956.2563
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,26783899675377,26783.8997,0,0.0000,26783899675377,26783.8997
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,18913149363913,18913.1494,0,0.0000,18913149363913,18913.1494
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,18493620535765,18493.6205,0,0.0000,18493620535765,18493.6205
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,11068294374485,11068.2944,0,0.0000,11068294374485,11068.2944
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,8543711791292,8543.7118,0,0.0000,8543711791292,8543.7118
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,7414493025859,7414.4930,0,0.0000,7414493025859,7414.4930
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4293161910088,4293.1619,0,0.0000,4293161910088,4293.1619
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,4122713794551,4122.7138,0,0.0000,4122713794551,4122.7138
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,2529450034569,2529.4500,0,0.0000,2529450034569,2529.4500
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,2162560465875,2162.5605,0,0.0000,2162560465875,2162.5605
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,2024071372001,2024.0714,0,0.0000,2024071372001,2024.0714
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,2013418364780,2013.4184,0,0.0000,2013418364780,2013.4184
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,1885582278128,1885.5823,0,0.0000,1885582278128,1885.5823
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,0,0.0000,1805142497891,1805.1425,1805142497891,1805.1425
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,0,0.0000,1575513416778,1575.5134,1575513416778,1575.5134
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.0000,1166439755518,1166.4398,1166439755518,1166.4398
gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,521637814838,521.6378,0,0.0000,521637814838,521.6378
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,279015575378,279.0156,0,0.0000,279015575378,279.0156
gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,260818907419,260.8189,15595183567,15.5952,276414090986,276.4141
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,0,0.0000,176245568133,176.2456,176245568133,176.2456
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,0,0.0000,113864833864,113.8648,113864833864,113.8648
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,0,0.0000,108366531966,108.3665,108366531966,108.3665
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,0,0.0000,100568940182,100.5689,100568940182,100.5689
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,0,0.0000,30990428883,30.9904,30990428883,30.9904
