address,reconstructed_weight,fair_share_ngonka,fair_share_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,214919.08,56690254239262,56690.2542,14350368017242,14350.3680,42339886222020,42339.8862
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,113567.51,29956256305629,29956.2563,0,0.0000,29956256305629,29956.2563
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,109684.58,28932036242619,28932.0362,2148136567242,2148.1366,26783899675377,26783.8997
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,72610.31,19152775357568,19152.7754,239625993655,239.6260,18913149363913,18913.1494
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,70111.38,18493620535765,18493.6205,0,0.0000,18493620535765,18493.6205
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,64214.92,16938281481490,16938.2815,5869987107005,5869.9871,11068294374485,11068.2944
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,32390.17,8543711791292,8543.7118,0,0.0000,8543711791292,8543.7118
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,28109.17,7414493025859,7414.4930,0,0.0000,7414493025859,7414.4930
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,16275.86,4293161910088,4293.1619,0,0.0000,4293161910088,4293.1619
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,15629.67,4122713794551,4122.7138,0,0.0000,4122713794551,4122.7138
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,9589.43,2529450034569,2529.4500,0,0.0000,2529450034569,2529.4500
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,8198.51,2162560465875,2162.5605,0,0.0000,2162560465875,2162.5605
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,7673.48,2024071372001,2024.0714,0,0.0000,2024071372001,2024.0714
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,7633.09,2013418364780,2013.4184,0,0.0000,2013418364780,2013.4184
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,7148.45,1885582278128,1885.5823,0,0.0000,1885582278128,1885.5823
gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,1977.59,521637814838,521.6378,0,0.0000,521637814838,521.6378
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,1057.78,279015575378,279.0156,0,0.0000,279015575378,279.0156
gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,988.79,260818907419,260.8189,0,0.0000,260818907419,260.8189
